	subjects	likelihood_no_hist	likelihood_1_lags	likelihood_2_lags	likelihood_3_lags	likelihood_4_lags	likelihood_5_lags	likelihood_6_lags	likelihood_7_lags	model_order
1	P2_	-36.2681360842	-35.5802482854	-35.791784297	-35.8877236616	-36.1894798441	-36.2640693743	-36.3073099817	-36.5139886588	likelihood_1_lags
2	P3_	-40.7507252899	-41.1688319783	-41.3007555555	-41.6617082678	-42.0623771265	-42.1891585016	-42.219061054	-42.2974554801	likelihood_no_hist
4	P5_	-36.4921251798	-36.5788157466	-35.7428541197	-35.9051309805	-36.2601502247	-36.4816939132	-36.6069621072	-37.175789679	likelihood_2_lags
5	P7_	-43.7402386982	-43.8477825571	-43.7407297687	-43.5975588854	-43.5496198602	-43.4694161153	-43.5722014227	-43.7767549462	likelihood_5_lags
6	P8_	-45.188011722	-45.3360678477	-45.5665852512	-45.474087114	-45.6402052023	-46.060210326	-46.246186715	-46.4126941034	likelihood_no_hist
7	P9_	-38.2079052121	-35.9642824515	-34.9617686973	-34.6768875091	-35.0469768903	-35.3037122371	-35.4542636993	-35.6130225025	likelihood_3_lags
8	P10	-44.3389226667	-44.6437360553	-43.5953550547	-44.30841339	-43.8763035225	-44.1885096149	-45.0600475313	-46.3319410569	likelihood_2_lags
9	P11	-49.1790295326	-49.8425061777	-50.9398505349	-51.1916067748	-51.3558492615	-51.32251021	-51.4182316646	-52.687185988	likelihood_no_hist
10	P12	-47.847451300500005	-45.809884226	-45.180898040100004	-45.2144746886	-45.58817718270001	-47.089604424899996	-48.4485501486	-50.760113134799994	likelihood_2_lags
11	P13	-40.7491698399	-40.9309325928	-41.1711343303	-41.4472443157	-41.4564653181	-41.5750789251	-41.604920452	-41.5704457892	likelihood_no_hist
12	P14	-46.0558750605	-46.1791803061	-45.2948774605	-45.4621846871	-45.6557953699	-45.8534629658	-46.0481249838	-46.4679298761	likelihood_2_lags
13	P15	-38.1295693713	-38.6937590916	-38.8628053525	-38.6064437078	-38.7934814702	-39.2359443516	-39.4973349566	-39.0104863708	likelihood_no_hist
14	P16	-47.9990502958	-44.4376871615	-44.8226591193	-45.1179349733	-45.4993468912	-45.6453824146	-45.5442380155	-45.7158470395	likelihood_1_lags
15	P17	-40.4863518624	-41.0309468588	-41.4514453082	-41.7239929566	-42.1059893333	-42.3671317822	-42.4321565277	-42.3426327645	likelihood_no_hist
16	P18	-41.1424686581	-41.5286545027	-41.4015267075	-41.5518822504	-41.4370981542	-41.5036792448	-41.6939513748	-41.8939663629	likelihood_no_hist
17	P19	-38.888817084	-39.0122148733	-39.2260950092	-39.5572456729	-39.0916809345	-39.2300632135	-39.4300446837	-39.6832098555	likelihood_no_hist
18	P20	-45.9307176628	-45.4000247901	-45.6589582038	-46.0001578242	-45.5231062917	-45.5615669371	-46.0073676898	-45.9432950633	likelihood_1_lags
19	P21	-47.226470746	-46.1021064479	-46.3080381186	-46.4027351285	-46.8879287091	-47.2903331466	-47.3774622652	-47.5647749173	likelihood_1_lags
20	P22	-33.1834880379	-33.6728770568	-33.6814493841	-33.8016891517	-34.0150176281	-34.3536005211	-34.5029681912	-34.7383222221	likelihood_no_hist
21	P23	-35.2324459017	-35.7273837349	-35.6745259428	-36.176675316	-36.3484673585	-36.4362155556	-36.7408279158	-36.788745287	likelihood_no_hist
22	P24	-31.3643458928	-30.7419480244	-30.7533801763	-31.0184904334	-30.9160229745	-31.2037737173	-31.2288316677	-31.6417652246	likelihood_1_lags
23	P25	-42.4231381644	-41.932463652	-42.2070860756	-42.4219200806	-42.7483329794	-43.0116387082	-43.2821714202	-43.6419730396	likelihood_1_lags
24	P26	-36.6283566303	-37.0298608195	-36.4278825977	-36.6960908041	-36.6043018634	-36.5926486643	-36.674997703	-36.9093023755	likelihood_2_lags
25	P27	-40.1240570767	-40.0641674854	-40.3837871799	-40.0812586712	-40.4300373008	-40.3413655375	-40.5993705464	-40.8884615053	likelihood_1_lags
26	P28	-37.7057787651	-37.9896003025	-37.9501439544	-37.9151654092	-38.200911	-38.386840096	-38.3626262971	-38.4348709926	likelihood_no_hist
27	P29	-41.9505636408	-42.1953778616	-42.3810125624	-42.5001295144	-42.6586825763	-42.9139331858	-43.2476753251	-43.4405768089	likelihood_no_hist
28	P30	-34.7823179036	-34.6360097236	-34.4653711436	-34.5078764863	-34.5092428768	-34.6983850095	-34.8315544481	-34.9733989441	likelihood_2_lags
29	P31	-40.8413800182	-40.7309130608	-41.3679255539	-41.8354157321	-41.9788283648	-42.3466790008	-42.6685791415	-43.0171383425	likelihood_1_lags
30	P32	-43.3197264723	-43.2954409134	-43.6719049556	-43.9282930837	-44.1583551711	-44.3189539166	-44.5063837403	-44.3233277711	likelihood_1_lags
31	P33	-37.6221634585	-37.7167564395	-37.7325771924	-37.5324275924	-37.8188109165	-37.7398971999	-37.9253278961	-37.8144756466	likelihood_3_lags
32	P34	-50.1299388039	-46.1168653692	-46.047874857	-45.746142278	-46.0824620826	-46.2779700882	-46.8229823216	-47.3243389289	likelihood_3_lags
34	P36	-41.5274948891	-41.6021611293	-42.0684328919	-42.2640489754	-42.1185605649	-42.2173900809	-42.5001679911	-42.8507550914	likelihood_no_hist
35	P37	-45.9154213734	-45.2150187612	-45.399331089	-45.5885814524	-45.814821423	-45.9456115447	-46.2700960443	-46.0894627467	likelihood_1_lags
36	P38	-44.5219733389	-45.0513032945	-45.3588544381	-45.6993032653	-45.9982713487	-46.7244643345	-46.9965621946	-47.2611744165	likelihood_no_hist
37	P39	-40.7537953388	-41.3166124923	-40.8895035158	-41.4693888545	-41.9198774324	-42.0263383632	-42.3800075188	-42.4488611463	likelihood_no_hist
38	P40	-38.8891189261	-38.9448208762	-38.6027642466	-38.583603186	-38.5292414697	-38.9426904335	-39.0755160559	-39.3724629381	likelihood_4_lags
39	P41	-28.4151694856	-28.6566876954	-28.8841886328	-29.3916621283	-29.7512833241	-30.0187709492	-30.3589193206	-30.6399405896	likelihood_no_hist
40	P42	-40.0346548123	-39.4672512343	-38.6844115109	-39.1292665763	-39.4237033223	-39.9239473201	-40.2160593975	-40.4126172809	likelihood_2_lags
