	kr_alternating	kr_neutral	kr_repetitive	kz_alternating	kz_neutral	kz_repetitive
0	-0.0714381648851	-0.14126328703	-0.177646849865	-0.485802223037	0.282927373651	0.225252687075
1	-0.0412047836827	-0.120030041838	0.168663808926	-0.118103885852	0.285563689914	0.580072926042
2	-0.0520887016232	-0.173920113952	-0.42110705593	-0.261408921779	0.0463498320517	0.62586222507
3	0.118096228447	0.151074159023	0.18534493033	0.0392524005733	0.33337966528	0.552521570463
4	-0.470220476818	-0.325365739102	-0.15634007785	-0.337147959238	-0.116658249362	0.286831146258
5	0.300664307105	0.171874228944	0.767535043234	-0.114355785133	0.0209187779788	0.641972945042
6	-0.127336588105	-0.0212228959195	-0.0472375916962	-0.0772161708683	0.154581611939	0.251484705115
7	0.142169160792	0.554312105098	0.198716892145	-0.461617435455	-0.191988519596	0.109350590182
8	-0.257603714916	-0.23497060265	0.106288117191	-0.155500264639	0.200131050219	0.44126750955
9	0.137035748912	0.199258161466	0.128384178518	-0.083438146775	-0.0642829014088	0.325411644414
10	-0.136349546662	-0.0129634327317	0.0337730953413	-0.205438614119	0.0118674445521	0.529645129047
11	-0.771016952945	-0.448147070313	-0.330596941825	0.52285666996	0.549398615195	0.663654063454
12	-0.122532649541	-0.00641211781511	0.0200564584082	-0.164042863227	0.027720753175	0.24518154489
13	-0.108349953469	0.033237444437	-0.0796933601327	-0.0187047047608	0.14209950926	0.315405115867
14	0.246413632317	0.44966277188	0.123824895477	-0.0794439035105	-0.0163258542131	0.41079632999
15	-0.188055512196	-0.106205661715	-0.0893052999407	-0.271622557807	0.249860462983	0.363482858945
16	-0.520014548411	-0.572787067399	-0.336227288562	0.223968610619	0.239885882813	0.347852622413
17	0.00880318543399	0.0671759474662	-0.0674677904784	-0.19754944737	0.160165572606	0.536839104453
18	-0.0513688904138	0.186037495309	0.183729122405	-0.0953654739098	-0.0877509159441	0.548517115855
19	-0.177022113696	-0.195079792828	-0.24498302902	-0.419330666286	0.143700434324	0.730558748122
20	-0.401696069458	-0.290286838436	-0.399297169245	0.0506967025033	0.227717188603	0.325028594341
21	-0.0265897922018	0.3917108016	0.502756118321	0.272492855845	0.0274805693696	0.0905860307993
22	-0.141928706241	0.254405652256	0.117886055158	-0.309762085043	0.00934488783428	0.343725343266
23	0.0901809945276	0.107861521658	-0.0732990477256	-0.171382134781	0.10721371318	0.72548517574
24	0.021731179324	-0.0759990995901	0.076771697479	-0.284914100202	0.142521963575	0.336458271187
25	-0.373818396475	-0.446460917225	-0.350736760114	0.179623604613	0.355880118184	0.411048158113
26	-0.134751782985	-0.193022678624	0.0424401479998	-0.155622602653	-0.0141547947859	0.0335434715526
27	0.176512058183	-0.110929216926	0.316535842926	-0.086175506746	0.336734162482	0.29052316121
28	0.0321716807704	0.220333070097	0.168532241378	-0.297846558867	-0.235068513931	0.329492993178
29	-0.537608099258	-0.169633345171	-0.257416551649	-0.268300046995	0.283964228995	1.41626352253
30	-0.361967091412	-0.150129878344	0.0288984545256	-0.110260936503	0.118818514376	0.274986900327
31	0.195606401003	0.0745271101062	0.437515407425	-0.264958035865	0.201386043897	0.143043096457
32	0.0876404616355	-0.176417108886	-0.359415585469	-0.212126089219	0.300091660691	0.541617737074
33	-0.20008558864	0.210560323761	0.17081634733	-0.355142197103	-0.111680621881	0.208971227896
34	-0.0839752066931	-0.00552342796423	-0.00280451148687	-0.150655202644	0.146700527285	0.654622499606
35	-0.253755605137	-0.146528613675	-0.0748218763239	-0.240611565889	-0.0361299401435	0.388734799123
