	zero	three	nine	two_seven	eight_one
0	0.07578948828948828	0.17787490287490285	0.2726787101787102	0.23643856143856146	0.2372183372183372
1	0.08194444444444444	0.1693181818181818	0.17196969696969697	0.34368686868686865	0.23308080808080808
2	0.10244812658605762	0.2277143354729562	0.21548489824351894	0.24609643230332887	0.20825620739413842
3	0.12518480565059598	0.2538103911803135	0.2148623153650858	0.1884462581110625	0.21769622969294225
4	0.09642450070729401	0.2312138411914084	0.26487749316437587	0.21629180107930476	0.19119236385761706
5	0.11984126984126985	0.18174603174603177	0.22380952380952382	0.2349206349206349	0.23968253968253964
6	0.13202991452991453	0.23239316239316238	0.23215811965811967	0.20767094017094018	0.19574786324786325
7	0.09749670619235837	0.13438735177865613	0.2496706192358366	0.3339920948616601	0.1844532279314888
8	0.11880448985712143	0.26614506351348455	0.19131268341794658	0.1826275089432984	0.241110254268149
9	0.16076242792582204	0.2275433743701626	0.16862435717625057	0.2567964001870033	0.18627344034076151
10	0.06035259553566189	0.23772982833337528	0.21383473664652153	0.24075561325275283	0.24732722623168849
11	0.11636142324107164	0.3081055410670015	0.20113940850925302	0.1909649555863214	0.18342867159635245
12	0.12013125763125765	0.13684371184371186	0.24565018315018317	0.20016788766788765	0.2972069597069597
13	0.09901964137562569	0.20505247826708553	0.25389903160724664	0.23028161761488627	0.2117472311351558
14	0.10380899293942773	0.3554440728353772	0.18067632850241544	0.184132292827945	0.17593831289483464
15	0.13408227560769934	0.2451238722425163	0.19834868860292587	0.23556833048358472	0.18687683306327374
16	0.14383394383394385	0.3126068376068376	0.21373626373626375	0.2024725274725275	0.12735042735042734
17	0.11302148442228908	0.26246870197452216	0.19829189476563766	0.21831337086703836	0.2079045479705128
18	0.08972119065201183	0.2036379091449244	0.22067942920178066	0.2593622359289265	0.22659923507235658
19	0.08825085589791472	0.14130096483037657	0.17431917211328976	0.27885543106131344	0.3172735760971055
20	0.1433021739985905	0.18234524972185553	0.20821554675510048	0.22896020477156384	0.23717682475288968
21	0.15267051983475347	0.2344792606847632	0.20658976980393873	0.1872375279817736	0.21902292169477103
22	0.08847259907097636	0.1682347233564272	0.22316664910478293	0.2743813826471027	0.24574464582071073
23	0.038957592677412084	0.14156506503231622	0.1871114964339462	0.1381774956923815	0.4941883501639439
24	0.1289892386100978	0.2645330455048364	0.1979075265371849	0.21342349540460306	0.1951466939432778
25	0.12592807092807093	0.2616108966108966	0.18078578578578577	0.19876590876590874	0.2329093379093379
26	0.0601521164021164	0.23015873015873012	0.2378306878306878	0.23230820105820107	0.2395502645502645
27	0.13658961227588678	0.2087050443072852	0.20401960110643583	0.22993152816682227	0.22075421414356988
28	0.14193086325439266	0.2083656947627536	0.23170412104235635	0.2962619896443426	0.12173733129615483
29	0.09010876713384601	0.22861997483845142	0.19506406933349243	0.2876964937929046	0.19851069490130557
30	0.0968624878807945	0.22029467481412565	0.1919535460725392	0.2507798900819496	0.2401094011505911
31	0.10779594833447555	0.23231989276902817	0.2065638557427566	0.22672254628579858	0.22659775686794117
32	0.12362153123022689	0.20289945643206517	0.227505213646518	0.24987290503594853	0.1961008936552415
33	0.09631264423305502	0.24343646796791854	0.24193088516580175	0.18894707584052903	0.22937292679269575
34	0.11181730187853949	0.2688070075883279	0.2550007034410022	0.19203611755888247	0.17233886953324795
35	0.11339455403910974	0.1985699717239141	0.20756468071862313	0.26406921515651177	0.21640157836184123
