	subject	0
0	2	-0.04466963348001148
1	3	-0.08367812869303977
2	5	-0.13755741827487103
3	7	0.012156310688599781
4	9	-0.1720379581397219
5	10	0.12227475850656612
6	11	-0.4068674404481264
7	12	-0.021142957431898802
8	13	-0.021593223082372052
9	14	0.0035961727893747656
10	15	-0.026796573654857995
11	16	-0.004492967937792396
12	17	-0.2094949297028103
13	18	0.027681117458964122
14	19	0.005108796108331903
15	20	-0.023089853096712427
16	21	-0.24194255490425154
17	22	-0.10975339664037767
18	23	-0.02444428889204592
19	24	-0.19251706520732226
20	25	0.021552656311824486
21	26	-0.03503575180456134
22	27	-0.019202377528780384
23	28	-0.014249629275912808
24	29	-0.12027819600759324
25	30	-0.04563550289544545
26	31	-0.044349725041074144
27	32	0.06698313847673838
28	33	-0.020251782393247268
29	34	-0.09666331146007462
30	37	0.03487727160107366
31	38	-0.035667804178154565
32	39	0.029208176839299257
33	40	-0.19558391495897445
34	41	-0.030835124108342767
35	42	-0.13089573244248054
