performance_alt	sensitivity_alt	stim_weights_alt
0.857692307692	7.63420876893	-0.485802223037
0.768774703557	6.01961798703	-0.118103885852
0.828063241107	7.34134139081	-0.261408921779
0.795366795367	7.51559649671	0.0392524005733
0.864	6.53693100133	-0.337147959238
0.672164948454	6.29898791354	-0.114355785133
0.72030651341	6.16521785488	-0.0772161708683
0.797687861272	5.42919685446	-0.461617435455
0.812379110251	6.36984185743	-0.155500264639
0.761165048544	5.22058309155	-0.083438146775
0.829745596869	7.02068315586	-0.205438614119
0.730223123732	4.46359387978	0.52285666996
0.803536345776	6.84102106303	-0.164042863227
0.80732177264	6.85980857076	-0.0187047047608
0.785288270378	6.76430234259	-0.0794439035105
0.780534351145	5.22389069667	-0.271622557807
0.767371601208	5.42846592692	0.223968610619
0.834600760456	8.25825447503	-0.19754944737
0.844758064516	7.67814675027	-0.0953654739098
0.836930455635	6.75101111424	-0.419330666286
0.78125	5.33113752115	0.0506967025033
0.835249042146	8.34252033399	0.272492855845
0.847908745247	7.47692524319	-0.309762085043
0.860952380952	8.30492547716	-0.171382134781
0.809248554913	6.37859841751	-0.284914100202
0.839147286822	7.94943272442	0.179623604613
0.815561959654	6.51604832313	-0.155622602653
0.779296875	6.34137024946	-0.086175506746
0.819577735125	7.55628892388	-0.297846558867
0.794174757282	3.99010141982	-0.268300046995
0.787356321839	5.40424935066	-0.110260936503
0.774900398406	6.04679506342	-0.264958035865
0.849420849421	7.13508729192	-0.212126089219
0.841904761905	7.11394120862	-0.355142197103
0.82196969697	8.574133697	-0.150655202644
0.820952380952	6.59077975833	-0.240611565889
