	subject	0
0	2	0.01789312982569057
1	3	-0.10997090227297962
2	5	-0.019701574361288138
3	7	0.1037289082138583
4	9	-0.00014127724136025165
5	10	0.1557408893618934
6	11	0.01663609573635321
7	12	-0.08271947761161415
8	13	0.07580327210890292
9	14	0.0618940830511787
10	15	-0.12943935581624993
11	16	0.04973130269952017
12	17	0.13258787832424537
13	18	0.020023627954864967
14	19	0.0987145530946533
15	20	-0.054605267229402926
16	21	0.07100510908702662
17	22	0.03362896496183541
18	23	0.07388207647598094
19	24	0.06292213108515106
20	25	-0.014058925833471063
21	26	0.05365668861264624
22	27	0.011256333986049517
23	28	-0.028230043750548797
24	29	-0.013505593393415912
25	30	0.0025333046181293993
26	31	0.06153717033104241
27	32	0.10731036448452941
28	33	-3.1373764333251157e-05
29	34	-0.07510386948979027
30	37	-0.037691696265114726
31	38	0.039186138218822705
32	39	0.033919214018140575
33	40	-0.04750522292153122
34	41	-0.051250057576765186
35	42	-0.012400749451509797
