idx	single_trial_bias_neutral
2030501	0.0
2030502	-0.0533196764146
2030503	-0.0533196764146
2030504	0.481132659417
2030505	0.481132659417
2030506	0.0533196764146
2030507	-0.0533196764146
2030508	0.0533196764146
2030509	0.213906491501
2030510	-0.0533196764146
2030511	0.481132659417
2030512	-0.0533196764146
2030513	0.0533196764146
2030514	-0.0533196764146
2030515	-0.0533196764146
2030516	0.0533196764146
2030517	-0.0533196764146
2030518	0.0533196764146
2030519	-0.0533196764146
2030520	0.213906491501
2030521	-0.0533196764146
2030523	-0.0533196764146
2030524	-0.0533196764146
2030525	-0.0533196764146
2030526	-0.0533196764146
2030528	-0.481132659417
2030529	0.0533196764146
2030530	0.0533196764146
2030531	-0.0533196764146
2030532	0.481132659417
2030533	0.0533196764146
2030534	-0.0533196764146
2030535	-0.213906491501
2030536	-0.213906491501
2030537	-0.481132659417
2030538	-0.0533196764146
2030539	0.0533196764146
2030540	0.481132659417
2030541	0.0533196764146
2030542	0.0533196764146
2030543	-0.0533196764146
2030544	-0.0533196764146
2030545	0.0533196764146
2030546	0.481132659417
2030547	0.0533196764146
2030548	0.0533196764146
2030549	0.0533196764146
2030550	0.213906491501
2030551	-0.213906491501
2030552	0.0533196764146
2030553	0.0533196764146
2030554	0.0533196764146
2030555	0.213906491501
2030556	-0.0533196764146
2030557	-0.0533196764146
2030558	0.0533196764146
2030559	0.0533196764146
2030560	0.0533196764146
2030561	-0.481132659417
2030562	-0.0533196764146
2030563	-0.0533196764146
2030564	-0.0533196764146
2030565	0.0533196764146
2030566	0.0533196764146
2030567	0.0533196764146
2030568	-0.0533196764146
2030569	-0.481132659417
2030570	-0.0533196764146
2030571	0.213906491501
2030572	-0.0533196764146
2030573	0.0533196764146
2030574	0.481132659417
2030575	-0.0533196764146
2030576	0.213906491501
2030577	-0.0533196764146
2030578	-0.0533196764146
2030579	-0.0533196764146
2030580	-0.0533196764146
2030581	-0.0533196764146
2030582	0.213906491501
2030583	0.0533196764146
2030584	-0.0533196764146
2030585	0.481132659417
2030586	-0.0533196764146
2030587	-0.0533196764146
2030588	0.213906491501
2030589	0.481132659417
2030590	-0.0533196764146
2030591	-0.0533196764146
2030592	-0.0533196764146
2030593	0.481132659417
2030594	-0.0533196764146
2030595	0.0533196764146
2030596	0.0533196764146
2030597	-0.0533196764146
2030598	0.0533196764146
2030599	0.0533196764146
