	subject	0
0	2	0.009742591161787034
1	3	0.08938398886831522
2	5	-0.038596605062285544
3	7	-0.03469230673557372
4	9	-0.19355600208792123
5	10	-0.045356313201655694
6	11	0.10261872946044906
7	12	0.19522564616365107
8	13	-0.009224355547826933
9	14	0.012087255793248727
10	15	0.04040895843545316
11	16	-0.045637347089357794
12	17	-0.015356483452936574
13	18	-0.05393660153395592
14	19	0.14247172830157323
15	20	-0.06863885779195449
16	21	0.02368432480933395
17	22	0.07806308910509835
18	23	0.029749427829962927
19	24	-0.07712658055973369
20	25	-0.018855365438812617
21	26	-0.025591880621700796
22	27	-0.01699849416357941
23	28	-0.012540818206133928
24	29	0.0781878095610488
25	30	-0.006315933324249064
26	31	0.00046636485742490753
27	32	-0.03433614152024814
28	33	-0.010051970645347762
29	34	-0.030521377092940633
30	37	-0.05152197550320056
31	38	0.09803323338759812
32	39	0.06443750393465432
33	40	0.007416449888630752
34	41	0.038053852189649164
35	42	-0.03529517275297654
