performance	sensitivity	vector_len
0.85214712472	7.94297181872	0.718943231389
0.772162902881	5.56440134661	0.729037507149
0.819619289147	7.38697213075	0.960949860214
0.821442262932	7.2389471057	0.517655897932
0.83604040404	6.40156477005	0.698477507835
0.7223982637	5.95627491838	0.888820247486
0.727772304324	5.99526946762	0.338319545841
0.805276679174	6.24236993437	0.573761389622
0.815630788266	6.52888004005	0.698962832907
0.762704331737	5.39921476707	0.408941317826
0.844969885813	7.26262590036	0.75451297059
0.756137202892	4.68303159517	0.462378299891
0.799204070324	6.35235513167	0.433354669877
0.81674682382	6.84875199477	0.335336506485
0.81129492884	7.26741153324	0.505335022478
0.783259599815	5.52624468222	0.642736722779
0.762190473501	5.00196749693	0.221641614461
0.854681784403	7.81517535772	0.738338544853
0.847379032258	7.28671371478	0.685460330751
0.830346415937	6.95475095595	1.15189598115
0.773038087935	5.54551379986	0.27434238025
0.845654824103	8.04923079103	0.559729565045
0.848859315589	7.3306081492	0.703242155448
0.878392857143	8.33148331378	0.911645049839
0.810994933827	6.54820208917	0.623805324251
0.844120927113	8.09797183976	0.232572753993
0.817263738448	6.89665703162	0.259192561692
0.779296875	5.91009042904	0.401881259495
0.836455534229	7.44141821687	0.641988408033
0.826759825654	4.45938862757	1.70770656821
0.814220796578	5.85252846268	0.548809412076
0.809999218811	6.73443494212	0.474325722857
0.862687523947	7.41522727636	0.876349738933
0.840055694793	7.24761624028	0.675123842247
0.844892894462	8.30103412127	0.809358301064
0.840012870013	7.09064190944	0.654289023644
