	1	2	3	4	5	6	7
0	-0.485802223037						
1	-0.118103885852						
2	-0.261408921779	-0.182298833471					
3	0.0392524005733	0.227945841929	0.0499423895707	-0.0769087628647	-0.0403230698226		
4	-0.337147959238	-0.347925416423	0.117396422508				
5	-0.114355785133	-0.234343724006					
6	-0.0772161708683						
7	-0.461617435455	0.312017089741					
8	-0.155500264639						
9	-0.083438146775	0.0168391015756					
10	-0.205438614119						
11	0.52285666996						
12	-0.164042863227						
13	-0.0187047047608						
14	-0.0794439035105						
15	-0.271622557807						
16	0.223968610619						
17	-0.19754944737						
18	-0.0953654739098						
19	-0.419330666286						
20	0.0506967025033						
21	0.272492855845	0.257316457938					
22	-0.309762085043						
23	-0.171382134781						
24	-0.284914100202						
25	0.179623604613	0.301931309238					
26	-0.155622602653						
27	-0.086175506746						
28	-0.297846558867	-0.168364413575	-0.282414255408				
29	-0.268300046995	0.463277209737	0.419209412615				
30	-0.110260936503						
31	-0.264958035865						
32	-0.212126089219						
33	-0.355142197103	-0.21054897052	-0.0442068515736	-0.0166756327425			
34	-0.150655202644						
35	-0.240611565889	-0.162125631621					
