performance_neutr	sensitivity_neutr	stim_weights_neutr
0.8861003861	8.97405180755	0.282927373651
0.746361746362	5.41019063986	0.285563689914
0.810756972112	7.69739398321	0.0463498320517
0.803981623277	7.24929645013	0.33337966528
0.786919831224	6.37245743134	-0.116658249362
0.625523012552	5.70746551527	0.0209187779788
0.71619047619	5.60242511899	0.154581611939
0.77245508982	5.98279088942	-0.191988519596
0.799610894942	8.07126190738	0.200131050219
0.695145631068	4.29887435765	-0.0642829014088
0.833333333333	6.96613791423	0.0118674445521
0.745689655172	4.91844306866	0.549398615195
0.832046332046	7.45010421602	0.027720753175
0.801941747573	7.1273920665	0.14209950926
0.793650793651	7.82669738045	-0.0163258542131
0.74378585086	4.85190169778	0.249860462983
0.73417721519	5.43883327197	0.239885882813
0.834600760456	8.45509910549	0.160165572606
0.846613545817	7.91630532436	-0.0877509159441
0.784735812133	7.62459439323	0.143700434324
0.782786885246	5.04103391805	0.227717188603
0.826996197719	8.2400145041	0.0274805693696
0.875	8.74499817963	0.00934488783428
0.863117870722	8.27201691394	0.10721371318
0.788954635108	6.28868960899	0.142521963575
0.828343313373	8.19028207143	0.355880118184
0.778735632184	6.55122391427	-0.0141547947859
0.794573643411	6.89712641063	0.336734162482
0.882129277567	8.95645413265	-0.235068513931
0.781431334623	6.17672139155	0.283964228995
0.793436293436	5.85596335083	0.118818514376
0.820116054159	7.51919739907	0.201386043897
0.832699619772	8.23901926012	0.300091660691
0.852207293666	8.8967665977	-0.111680621881
0.83908045977	8.39283530399	0.146700527285
0.83203125	7.98451420978	-0.0361299401435
