	subject	all	rep	alt	neutr
0	10	6.975211283531662	9.415603285928547	7.664713887559209	6.054660937979314
1	11	24.453248426748623	32.300760952023786	16.72944697069004	24.73214687834714
2	12	3.398929983019678	1.9567635309698304	1.2525573890154265	7.078153034496646
3	13	1.1702239977437907	4.875340584882409	2.2192320309192355	-2.875253205223073
4	14	10.869227541740011	5.8906749052879706	14.40865539396619	12.555276829313962
5	15	4.071020845603988	-1.910619121145634	8.417942780273306	4.159624700696501
6	16	4.114492843370089	5.999762333943306	7.025320041700908	-0.9596871344772122
7	17	7.876798159078395	9.849984981791618	12.894560640607384	2.0644197159760505
8	18	-1.3952670699608074	-0.13915590521675236	-2.559685162646981	-1.979817702727141
9	19	3.322652397858134	6.045452388904897	-3.6520955066217624	7.198583207170797
10	2	3.3953154488797437	2.4796789635632197	5.094273028578422	2.4290940012183655
11	20	6.098673726536382	9.89925275520761	1.3468183781431462	7.9251732176964484
12	21	4.086275889198361	4.676404520737695	8.935423171706775	-0.7837106087362149
13	22	10.895027223629445	10.105432842274269	13.746118079053522	8.928657252662937
14	23	1.3737726082780934	1.9473062799642336	2.0067114578989576	-0.3171837072627068
15	24	5.836235089311712	4.053074680961402	9.916601317597912	4.917727158819599
16	25	2.2633959065673497	4.356133448412527	-1.281231815459418	3.276113676719742
17	26	3.8856691916631463	5.03085189416497	5.372363486924205	1.1398660833781573
18	27	1.8208215405234462	4.360305029550151	1.856935581458351	-1.0703242255428294
19	28	1.9500152301641056	-3.035285783392273	5.679526641607714	3.7662006671063137
20	29	3.888074210714555	5.268730233478634	4.942710657321989	-0.6650690515648033
21	3	2.618312172824864	1.765957846092105	5.601037680995411	2.2952035513516686
22	30	6.156945806788375	6.51752196865026	3.5231250058989816	8.80621178697687
23	31	0.3927926047612738	-1.3087650155294759	0.6462396408270744	1.5009743408511462
24	32	1.7010164063059918	1.8534131000555978	4.005784736069026	-0.5238606302847006
25	33	2.135581058563274	4.774457074970718	-0.019115091205686774	1.8951207102482766
26	34	6.926528756968094	6.005916601527672	10.245763837528887	5.23224243276626
27	37	-0.3576535900939536	-0.7965692484943089	-2.0537231023927935	2.442176047617486
28	38	2.313750592216828	3.362811101877996	-0.6470627419605484	4.137052520435676
29	39	0.5293629107017301	1.619207346001924	0.6005668157729829	-0.8650043925162173
30	40	5.384105043348165	2.084791408889919	11.711453191645287	1.1442276513692213
31	41	1.3846047736966216	3.726885592669462	0.4930647657400115	0.251904471656824
32	42	5.9395931285951225	1.0246846613520553	8.780012439620808	6.919859657830005
33	5	1.6694178485415065	1.8261746825553655	4.5412737695809895	-0.7509096884809348
34	7	1.1579906928906234	4.588051827968143	2.367787217718587	-3.1246032260187087
35	9	8.626831304951166	4.031992198267061	12.11712173531602	9.543342378864462
