	subject	0
0	2	-0.01236221452624369
1	3	-0.012978159671211313
2	5	-0.06417121466277464
3	7	0.016566245595208293
4	9	-0.1116053984530133
5	10	0.09756180220782018
6	11	-0.10063350531637733
7	12	0.03739967596652873
8	13	0.07732558183421541
9	14	0.02248305876821739
10	15	-0.054888286515994485
11	16	0.0032523674008777073
12	17	0.027373519808251378
13	18	0.017776272996223894
14	19	0.08700828712345218
15	20	-0.0411070684927373
16	21	-0.052563378444288246
17	22	0.015993328508413212
18	23	0.02625573277567235
19	24	-0.04835446562678205
20	25	0.005400162783935541
21	26	-0.014024691167568732
22	27	-0.03165393379856795
23	28	-0.02197781709270268
24	29	0.022502841790916207
25	30	-0.013260094775517381
26	31	0.012008455360672216
27	32	0.0446788819078795
28	33	-0.0004501965612790439
29	34	-0.061810053342949596
30	37	-0.0037378257745443308
31	38	0.05062218626680707
32	39	0.043431777966585795
33	40	-0.10057036348225981
34	41	-0.03518188475886306
35	42	-0.06243058716383711
